entry,category,coverage,stage,report_note,source_urls,inspection_scope_and_limits
AMNet,method_or_implementation,primary_methods,expanded_review,25,https://link.springer.com/article/10.1186/s13321-024-00841-0,"Astero, M.; Rousu, J. *Learning symmetry-aware atom mapping in chemical reactions through deep graph matching*. Journal of Cheminformatics 16, 46 (2024). [Original article](https://link.springer.com/article/10.1186/s13321-024-00841-0), symmetry identification and atom matching network sections. The method is named AMNet in this article."
AMLGAM,method_or_implementation,primary_methods,expanded_review,26,https://www.kavrakilab.rice.edu/publications/litsa2019atom-mapping.pdf,"Litsa, E. E., et al. *Machine Learning Guided Atom Mapping of Metabolic Reactions*. Journal of Chemical Information and Modeling 59, 1121–1135 (2019). DOI: 10.1021/acs.jcim.8b00434. [Author manuscript](https://www.kavrakilab.rice.edu/publications/litsa2019atom-mapping.pdf), MILP formulation and alternative-mapping sections, manuscript pp. 8–15."
MWED author presentation,method_or_implementation,author_slides,expanded_review,27,https://bioinformatics.ai.sri.com/ptools13/slides/Tues/Mario-presentation-march-2013.pdf,"Latendresse, M. *Atom Mapping in MetaCyc and Pathway Tools*. Author presentation (2013). [Slides](https://bioinformatics.ai.sri.com/ptools13/slides/Tues/Mario-presentation-march-2013.pdf), slides 11–19. Companion paper: Latendresse et al. (2012), DOI: 10.1021/ci3002217; the slides supply the inspected mechanism evidence."
Heinonen A*,method_or_implementation,abstract_and_review,expanded_review,28,https://research.aalto.fi/en/publications/computing-atom-mappings-for-biochemical-reactions-without-subgrap/,"Heinonen, M., et al. *Computing Atom Mappings for Biochemical Reactions without Subgraph Isomorphism*. Journal of Computational Biology 18, 43–58 (2011). [Author-institution abstract](https://research.aalto.fi/en/publications/computing-atom-mappings-for-biochemical-reactions-without-subgrap/). DOI: 10.1089/cmb.2009.0216. Full original algorithm unresolved."
CLCA,method_or_implementation,abstract_and_partial_utility,expanded_review,29,https://pure.psu.edu/en/publications/clca-maximum-common-molecular-substructure-queries-within-the-met/ | https://github.com/maranasgroup/MetRxn/blob/d311556fce7faeb23952980c4eec3680dd87840f/Alchemist/src/primeR/molProcess.java,"Kumar, A.; Maranas, C. D. *CLCA: Maximum Common Molecular Substructure Queries within the MetRxn Database*. Journal of Chemical Information and Modeling 54, 3417–3438 (2014). [Author-institution abstract](https://pure.psu.edu/en/publications/clca-maximum-common-molecular-substructure-queries-within-the-met/). DOI: 10.1021/ci5003922. Associated [Alchemist prime-label utility](https://github.com/maranasgroup/MetRxn/blob/d311556fce7faeb23952980c4eec3680dd87840f/Alchemist/src/primeR/molProcess.java); complete CLCA procedure unresolved."
ReactionMap,method_or_implementation,abstract_only,expanded_review,30,https://pubmed.ncbi.nlm.nih.gov/24160861/,"Fooshee, D.; Andronico, A.; Baldi, P. *ReactionMap: An Efficient Atom-Mapping Algorithm for Chemical Reactions*. Journal of Chemical Information and Modeling 53, 2812–2819 (2013). [Original abstract](https://pubmed.ncbi.nlm.nih.gov/24160861/). DOI: 10.1021/ci400326p. Abstract-level coverage; full-method equivalence not assessed."
Vleduts (1963),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Lynch–Willett (1978),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
McGregor–Willett (1981),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
McGregor (1982),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Funatsu et al. (1988),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Varkony et al. (1979),method_or_implementation,historical_or_overview_lead,expanded_review,4,https://eprints.whiterose.ac.uk/id/eprint/102232/3/MCS_review_final.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Takahashi et al. (1987),method_or_implementation,historical_or_overview_lead,expanded_review,4,https://eprints.whiterose.ac.uk/id/eprint/102232/3/MCS_review_final.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Akutsu (2004),method_or_implementation,historical_or_overview_lead,expanded_review,3,https://doi.org/10.5936/csbj.201302004,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Crabtree–Mehta (2009),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Kouri–Mehta graph naming (2013),method_or_implementation,historical_or_overview_lead,expanded_review,,https://bigraph.mines.edu/publications.html,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
First–Gounaris–Floudas / DREAM (2012),method_or_implementation,historical_or_overview_lead,expanded_review,5,https://link.springer.com/article/10.1186/s13321-017-0223-1,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
Körner–Apostolakis / ITSE (2008),method_or_implementation,historical_or_overview_lead,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
RXNMapper (2021),method_or_implementation,historical_or_overview_lead,expanded_review,6,https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/88966/1/Varnek_AAM%20paper_for%20HUSCAP%20.pdf,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
GraphormerMapper (2022),method_or_implementation,historical_or_overview_lead,expanded_review,25,https://link.springer.com/article/10.1186/s13321-024-00841-0,"Identified through review, original-method bibliography or author publication list. Complete original algorithm not inspected; no claim of exclusion or implementation equivalence."
SMSD (2009),method_or_implementation,primary_methods,earlier_audit_reused,,https://link.springer.com/article/10.1186/1758-2946-1-12,"Primary algorithm sections examined in initial novelty audit; MCS algorithm selection, extension and chemical filtering. No competitor execution."
Zhou–Nakhleh symmetry (2012),method_or_implementation,abstract_only,expanded_review,,https://pubmed.ncbi.nlm.nih.gov/22985501/,Original abstract inspected: graph automorphisms of compounds/reactions and consequences for atom tracing. No full algorithm equivalence assessment.
