index,reference_complete,direction,stage,reference_recovery,top1_correct,search_incomplete,capped,search_seconds,evaluation_seconds,cpu_seconds,peak_rss_mb,old_reference_recovery,old_top1_correct,recovery_change,archive,evaluation
14,True,R_to_P,complete,recovered,False,False,False,2.0577090056613088,0.1731966808438301,2.685516,148.4765625,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/14/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/14/evaluation.json
15,True,R_to_P,complete,recovered,True,False,False,1.2963703689165413,0.13020229595713317,2.1710789999999998,132.7265625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/15/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/15/evaluation.json
16,True,P_to_R,complete,recovered,False,False,True,23.21585852280259,3.567136187106371,22.725400999999998,532.25390625,not_recovered,False,gained,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/16/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/16/evaluation.json
17,True,R_to_P,complete,recovered,False,False,True,104.5014619550202,9.567703504115343,94.829643,1985.30859375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/17/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/17/evaluation.json
18,True,R_to_P,complete,recovered,True,False,False,0.6377725899219513,0.07991363480687141,1.631927,127.5859375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/18/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/18/evaluation.json
19,True,R_to_P,complete,not_recovered,False,False,True,111.96999727748334,14.383197100833058,108.17448999999999,2239.390625,not_recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/19/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/19/evaluation.json
20,True,R_to_P,complete,recovered,False,False,True,11.093200653791428,1.076027481816709,10.825372,327.6015625,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/20/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/20/evaluation.json
21,True,P_to_R,complete,recovered,False,False,True,4.070626934990287,0.7912554610520601,4.793316,191.203125,not_recovered,False,gained,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/21/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/21/evaluation.json
22,True,P_to_R,complete,recovered,False,False,False,4.661823840811849,0.5499026393517852,4.588709,153.7109375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/22/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/22/evaluation.json
23,True,P_to_R,complete,recovered,True,False,True,1.7808070722967386,0.18413302209228277,2.6552029999999998,147.9921875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/23/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/23/evaluation.json
24,True,R_to_P,complete,recovered,True,False,False,3.9627607790753245,0.4220434846356511,4.222827,153.94140625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/24/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/24/evaluation.json
25,True,R_to_P,complete,recovered,True,False,True,14.863010863307863,1.5665363329462707,15.022901,372.84765625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/25/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/25/evaluation.json
26,True,R_to_P,complete,recovered,False,False,True,4.703343464061618,0.5503950282000005,5.119008,176.67578125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/26/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/26/evaluation.json
27,True,R_to_P,complete,recovered,False,False,True,13.647194046061486,1.3757920558564365,13.840806,381.4921875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/27/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/27/evaluation.json
28,True,R_to_P,complete,recovered,False,False,True,2.257592933252454,0.23417105991393328,3.173113,157.8828125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/28/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/28/evaluation.json
29,True,P_to_R,complete,recovered,True,False,True,35.60871945274994,4.1710123722441494,35.686456,667.47265625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/29/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/29/evaluation.json
30,True,R_to_P,complete,recovered,False,False,True,12.570829796604812,1.3012232538312674,12.953104999999999,341.3203125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/30/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/30/evaluation.json
31,True,R_to_P,complete,recovered,True,False,False,2.128738917876035,0.22499346872791648,2.944621,147.16015625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/31/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/31/evaluation.json
32,True,P_to_R,complete,recovered,True,False,True,7.8988913567736745,1.5607112138532102,7.998709,220.3046875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/32/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/32/evaluation.json
33,True,R_to_P,complete,recovered,False,False,True,29.757799885235727,3.645701630972326,29.970386,739.609375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/33/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/33/evaluation.json
34,True,R_to_P,complete,recovered,True,False,True,8.337527835043147,0.9827530290931463,7.7419329999999995,241.68359375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/34/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/34/evaluation.json
35,True,R_to_P,complete,recovered,False,False,False,6.740489459130913,0.7601609779521823,6.989721,197.515625,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/35/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/35/evaluation.json
36,True,P_to_R,complete,recovered,False,False,True,16.961946540046483,2.2816863488405943,17.063438,420.54296875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/36/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/36/evaluation.json
37,True,R_to_P,complete,recovered,True,False,True,8.462766354903579,0.7548514329828322,8.945231999999999,263.26953125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/37/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/37/evaluation.json
38,True,P_to_R,complete,recovered,True,False,True,0.9592131152749062,0.15035880776122212,1.9547659999999998,133.35546875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/38/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/38/evaluation.json
39,True,R_to_P,complete,recovered,False,False,True,40.56685057096183,4.8199055078439415,40.484761,877.609375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/39/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/39/evaluation.json
40,True,R_to_P,complete,recovered,True,False,True,6.947643342893571,0.6942950147204101,7.567149000000001,244.2890625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/40/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/40/evaluation.json
41,True,R_to_P,complete,recovered,True,False,True,11.634053618181497,0.9808898791670799,11.67032,302.01953125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/41/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/41/evaluation.json
42,True,R_to_P,complete,recovered,True,False,True,5.034872177056968,0.533103110268712,5.628457,202.91796875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/42/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/42/evaluation.json
43,True,R_to_P,complete,recovered,False,False,True,0.9753868011757731,0.11414152197539806,1.90585,131.98046875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/43/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/43/evaluation.json
44,True,R_to_P,complete,unknown,False,False,True,66.76832274580374,120.34233892802149,65.398467,1366.0,not_recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/44/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/44/evaluation.json
45,True,P_to_R,complete,recovered,False,False,True,2.931349210906774,0.8879403409082443,3.777338,170.01171875,not_recovered,False,gained,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/45/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/45/evaluation.json
46,True,R_to_P,complete,recovered,True,False,True,4.313536786939949,0.5622468232177198,5.083581000000001,197.2734375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/46/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/46/evaluation.json
47,True,R_to_P,complete,recovered,True,False,False,0.26683181431144476,0.021099180914461613,1.243098,120.3671875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/47/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/47/evaluation.json
48,True,R_to_P,complete,recovered,False,False,True,74.43080728221685,7.274311752058566,72.90441799999999,1446.85546875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/48/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/48/evaluation.json
49,True,R_to_P,complete,recovered,False,False,False,1.7039930238388479,0.15181232383474708,2.4917949999999998,138.109375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/49/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/49/evaluation.json
50,True,R_to_P,complete,recovered,False,False,False,0.5155068510212004,0.05144310416653752,1.502373,126.4765625,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/50/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/50/evaluation.json
51,True,R_to_P,complete,recovered,False,False,False,0.8021793528459966,0.12862481689080596,1.777674,131.41796875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/51/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/51/evaluation.json
52,True,P_to_R,complete,recovered,True,False,True,1.6248697158880532,0.1374137131497264,2.449767,126.30859375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/52/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/52/evaluation.json
53,True,R_to_P,complete,recovered,True,False,True,4.5569845056161284,0.34489936009049416,5.280509,196.0,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/53/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/53/evaluation.json
54,True,R_to_P,complete,recovered,True,False,False,1.494549841620028,0.17043271847069263,2.233506,127.61328125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/54/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/54/evaluation.json
55,True,R_to_P,complete,recovered,True,False,True,2.7782364916056395,0.32716786675155163,3.4600049999999998,142.390625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/55/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/55/evaluation.json
56,True,R_to_P,complete,recovered,True,False,True,21.00075293239206,2.197305222041905,20.973001999999997,499.05859375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/56/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/56/evaluation.json
57,True,R_to_P,complete,recovered,True,False,False,0.26071617379784584,0.03424518555402756,1.292783,119.90234375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/57/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/57/evaluation.json
58,True,P_to_R,complete,recovered,True,False,False,1.0467143673449755,0.12468662671744823,1.9676449999999999,125.796875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/58/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/58/evaluation.json
59,True,R_to_P,complete,recovered,True,False,False,0.8821986587718129,0.10988586489111185,1.830697,125.62890625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/59/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/59/evaluation.json
60,True,R_to_P,complete,recovered,True,False,False,0.33201568853110075,0.04442618694156408,1.3501269999999999,120.6875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/60/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/60/evaluation.json
61,True,R_to_P,complete,recovered,True,False,False,13.753619600087404,1.555073905736208,14.094973,294.375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/61/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/61/evaluation.json
62,True,R_to_P,complete,recovered,True,False,False,1.5909813456237316,0.16057694982737303,2.492497,130.37109375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/62/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/62/evaluation.json
63,True,P_to_R,complete,recovered,True,False,False,0.5463986387476325,0.06972232181578875,1.482934,121.62109375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/63/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/63/evaluation.json
64,True,R_to_P,complete,recovered,True,False,True,0.8246718919835985,0.09934255992993712,1.7704259999999998,129.95703125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/64/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/64/evaluation.json
65,True,P_to_R,complete,recovered,True,False,False,1.6063587660901248,0.14968518214300275,2.344759,128.796875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/65/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/65/evaluation.json
66,True,R_to_P,complete,recovered,False,False,True,163.56628639344126,15.360292771831155,158.298618,3237.86328125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/66/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/66/evaluation.json
67,True,R_to_P,complete,recovered,True,False,False,2.7662971208337694,0.26705089514143765,3.36214,144.125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/67/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/67/evaluation.json
68,True,R_to_P,complete,recovered,True,False,True,11.166027275845408,1.0745326459873468,11.412945,306.97265625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/68/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/68/evaluation.json
69,True,R_to_P,complete,recovered,False,False,True,9.931224331026897,1.1464165709912777,10.064835,270.8046875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/69/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/69/evaluation.json
70,True,R_to_P,complete,recovered,True,False,False,1.2747901189140975,0.0950079089961946,1.9875409999999998,126.9609375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/70/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/70/evaluation.json
71,True,R_to_P,complete,recovered,True,False,True,9.356153175001964,0.9793922770768404,9.393310000000001,239.1796875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/71/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/71/evaluation.json
72,True,R_to_P,complete,recovered,True,False,False,2.3297070011030883,0.1663416789378971,2.874207,132.0859375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/72/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/72/evaluation.json
73,True,P_to_R,complete,recovered,True,False,False,0.4269491389859468,0.04997153487056494,1.525551,120.5,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/73/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/73/evaluation.json
74,True,P_to_R,complete,recovered,True,False,False,7.465854919049889,0.6512890129815787,7.308746999999999,161.625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/74/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/74/evaluation.json
75,True,R_to_P,complete,recovered,True,False,False,0.4370226371102035,0.04161758301779628,1.525312,119.97265625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/75/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/75/evaluation.json
76,True,P_to_R,complete,recovered,True,False,False,1.5017883107066154,0.14933959301561117,2.3711830000000003,128.00390625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/76/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/76/evaluation.json
77,True,R_to_P,complete,recovered,True,False,True,6.746965323574841,0.5994697529822588,6.890504,234.34375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/77/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/77/evaluation.json
78,True,R_to_P,complete,recovered,True,False,False,2.688060401007533,0.27379821334034204,3.426923,136.48046875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/78/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/78/evaluation.json
79,True,R_to_P,complete,recovered,True,False,True,5.240435927174985,0.6240118760615587,5.540779,201.36328125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/79/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/79/evaluation.json
80,True,R_to_P,complete,recovered,True,False,True,7.595631011761725,0.6483989721164107,7.592052,241.87890625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/80/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/80/evaluation.json
81,True,R_to_P,complete,recovered,True,False,False,2.321670419536531,0.22123295906931162,2.983508,131.37109375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/81/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/81/evaluation.json
82,True,P_to_R,complete,recovered,True,False,False,0.43267831578850746,0.03504612576216459,1.3352279999999999,119.3125,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/82/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/82/evaluation.json
